scenario,model_label,missing_ratio,num_epochs,objective,final_train_loss,final_test_loss,best_test_loss,mse,rmse,mae,bias,num_windows,num_points
A,GRU base,0.0,1000,baseline ideal,0.0788291177966378,0.4250304698944092,0.2180286484460036,0.0550713948905468,0.23467295304433103,0.1840689480304718,0.06152104586362839,1328.0,265600.0
B,GRU base,0.1,1000,robustez,0.06268087989001563,0.48777366429567337,0.2914758001764615,0.07853134721517563,0.28023445044315237,0.21952660381793976,0.041784726083278656,1328.0,238951.0
C,GRU base,0.3,1000,degradacao principal,0.09960839400688808,0.7382556647062302,0.4225708345572154,0.11977003514766693,0.3460780766643084,0.27043771743774414,-0.013943751342594624,1328.0,186081.0
D,GRU base,0.5,1000,degradacao severa,0.0775120502168482,1.1799547870953877,0.48978163798650104,0.18209749460220337,0.42672883029179476,0.333850622177124,0.07388856261968613,1326.0,132454.0
E,GRU temporal,0.0,1000,controle,0.07038105775912602,0.20558608944217363,0.15717261036237082,0.03268609195947647,0.1807929532904324,0.13839784264564514,0.026458747684955597,1328.0,265600.0
F,GRU temporal,0.1,1000,robustez,0.03491424407922861,0.2221677005290985,0.17662828229367733,0.03577706962823868,0.189148274187841,0.14307744801044464,0.020209064707159996,1328.0,238951.0
G,GRU temporal,0.3,1000,recuperacao principal,0.03614593771370975,0.2450328270594279,0.1816569281121095,0.03887671232223511,0.19717178378823658,0.15026867389678955,0.02982392907142639,1328.0,186081.0
H,GRU temporal,0.5,1000,robustez severa,0.02622020583261143,0.28012152512868244,0.24644862612088522,0.044238440692424774,0.21032936241149208,0.16173918545246124,0.039192017167806625,1326.0,132454.0
