epoch,train_loss,test_loss
1,1.010720148231044,0.7783868213494619
2,1.0052211952931953,0.768687461813291
3,1.0041478890361208,0.7520251224438349
4,0.9849705136183536,0.735889678200086
5,0.9634632703029749,0.734748512506485
6,0.9500635970722545,0.7197795907656351
7,0.8830374136115565,0.5707894414663315
8,0.6729636499376008,0.6245260685682297
9,0.6397309339407719,0.5214425673087438
10,0.6100200504967661,0.5359615211685499
11,0.6063605745633444,0.5356833686431249
12,0.6015009627197728,0.5253315195441246
13,0.5994518299897512,0.5266866907477379
14,0.6053614182905718,0.520995150009791
15,0.5923507376150652,0.5344234704971313
16,0.5884898919047732,0.5068122918407122
17,0.5715177474599896,0.49387039989233017
18,0.5329999526341757,0.43320410201946896
19,0.5118872080788468,0.44437328974405926
20,0.5144401635184432,0.47273678084214527
21,0.5022416006435048,0.4242912034193675
22,0.4993737917957884,0.41826066995660466
23,0.4959270872853019,0.4290979777773221
24,0.4931233326594035,0.41299619898200035
25,0.49191781788161304,0.4068676258126895
26,0.48696602113319165,0.4039172828197479
27,0.4915354893063054,0.4117037504911423
28,0.4867497637416377,0.4358050897717476
29,0.49675047397613525,0.40941668301820755
30,0.4893700796546358,0.411992775897185
31,0.49030004396583093,0.43180278440316516
32,0.4905287180886124,0.43412180493275326
33,0.4984915644833536,0.4099972868959109
34,0.49523407672390796,0.4101810020705064
35,0.48893858898769726,0.4150427617132664
36,0.48564200058127893,0.4113847663005193
37,0.490274013894977,0.4062867636481921
38,0.48793049653371173,0.41080086926619214
39,0.4920291313619325,0.4243198459347089
40,0.4905097349123521,0.40405579656362534
41,0.48309380809466046,0.4069177818795045
42,0.4812288085619609,0.4044683625300725
43,0.48683894854603393,0.41080138087272644
44,0.4866074432026256,0.4162962387005488
45,0.4856505710067171,0.4054027423262596
46,0.4800860583782196,0.4128791242837906
47,0.48189833037780994,0.409254252910614
48,0.4871318864099907,0.4145660251379013
49,0.4906356623678496,0.4043089672923088
50,0.4840212825572852,0.410386157532533
51,0.4906072562391108,0.4124978706240654
52,0.48562224796324066,0.43050715575615567
53,0.4864724170077931,0.40820282449324924
54,0.4827373307762724,0.4116796428958575
55,0.4853119299267278,0.42515087376038235
56,0.4838725039453218,0.40626900146404904
57,0.4879364280989676,0.40856777752439183
58,0.4821653320933833,0.4286668250958125
59,0.48902773044326087,0.4041870857278506
60,0.4754329983032111,0.4045833895603816
61,0.48167526721954346,0.4170815075437228
62,0.48849337299664813,0.4209053119023641
63,0.47994918353629834,0.4071618231634299
64,0.4781771013230989,0.4186115761597951
65,0.48383410500757623,0.40795715153217316
66,0.4803557034694787,0.40306245783964795
67,0.4791378089875886,0.4357796882589658
68,0.4810594329328248,0.40596665690342587
69,0.4775008631475044,0.40763796865940094
70,0.4885040512590697,0.40564699470996857
71,0.4771233517112154,0.4081490139166514
72,0.4762818253401554,0.4281432355443637
73,0.48488424221674603,0.40927116945385933
74,0.47689773819663306,0.4145314022898674
75,0.4770093361536662,0.4061526693403721
76,0.47379670901732013,0.4068537975351016
77,0.4716642002264659,0.4033585960666339
78,0.4726377824942271,0.39977483699719113
79,0.4682395440159422,0.40311334530512494
80,0.4716130260265235,0.4017280551294486
81,0.4684696080106677,0.39996813237667084
82,0.4685414830843608,0.4008432986835639
83,0.4684536276441632,0.39934100210666656
84,0.4650275400190642,0.39553484072287876
85,0.4613542945095987,0.40532095606128377
86,0.46814323194099194,0.40256520609060925
87,0.4646246875777389,0.40496695786714554
88,0.46135919202457776,0.394030104080836
89,0.46278941179766797,0.3931725149353345
90,0.45109578786474286,0.3821421278019746
91,0.4549541924939011,0.3835308874646823
92,0.44918435270136053,0.3776981234550476
93,0.4491441006010229,0.3697142203648885
94,0.4359057392134811,0.35378222167491913
95,0.42038108092365845,0.33140626177191734
96,0.40020021254366095,0.3179025240242481
97,0.38763485713438556,0.3054874340693156
98,0.38239306482401764,0.3249868204196294
99,0.38631350163257483,0.30189191301663715
100,0.3857987297303749,0.31376317391792935
