epoch,train_loss,test_loss
1,0.4144074022769928,0.354464627802372
2,0.40565139055252075,0.35353876153628033
3,0.40317150950431824,0.3523975859085719
4,0.394071102142334,0.35004204014937085
5,0.3948912024497986,0.3468939736485481
6,0.39682579040527344,0.34355102231105167
7,0.39034566283226013,0.3347996349136035
8,0.37800246477127075,0.3218633209665616
9,0.37225115299224854,0.305676206946373
10,0.34744104743003845,0.28549983849128086
11,0.33170655369758606,0.26864856481552124
12,0.31068873405456543,0.25508294254541397
13,0.292328417301178,0.24691012501716614
14,0.2833034098148346,0.2430444061756134
15,0.2860930263996124,0.24222239603598913
16,0.27455419301986694,0.24097986022631326
17,0.2786164879798889,0.24011400093634924
18,0.2743591368198395,0.2398419181505839
19,0.2753986418247223,0.23943359404802322
20,0.27135545015335083,0.23945076018571854
21,0.2711634039878845,0.23887883871793747
22,0.27611243724823,0.23906795928875604
23,0.2714316248893738,0.23846308141946793
24,0.2759164273738861,0.238777885834376
25,0.2778554856777191,0.24148806184530258
26,0.27667540311813354,0.24146993458271027
27,0.2705901861190796,0.23833907643953958
28,0.2742091715335846,0.2375695432225863
29,0.27296483516693115,0.23685531069835028
30,0.2646158039569855,0.23662886023521423
31,0.26645463705062866,0.23713476459185281
32,0.27515533566474915,0.23856945584217706
33,0.2719670236110687,0.23849520087242126
34,0.2689330577850342,0.23682517806688944
35,0.26708152890205383,0.23603837192058563
36,0.26716500520706177,0.23508907357851663
37,0.2679442763328552,0.23717800031105676
38,0.2653147280216217,0.23412120093901953
39,0.26160717010498047,0.2330913320183754
40,0.25928881764411926,0.23336019615332285
41,0.2653537392616272,0.24287991225719452
42,0.27168893814086914,0.2353451078136762
43,0.2627922594547272,0.23215647786855698
44,0.2652176022529602,0.23314315328995386
45,0.26199647784233093,0.2321583852171898
46,0.2627648711204529,0.23131773124138513
47,0.26749110221862793,0.23375422259171805
48,0.25890207290649414,0.23076003044843674
49,0.2596346437931061,0.23107323298851648
50,0.26337721943855286,0.23090312133232752
51,0.2624267339706421,0.2309430812795957
52,0.2634173035621643,0.22931482394536337
53,0.2556455731391907,0.2286179686586062
54,0.2565075159072876,0.23085579524437586
55,0.254678338766098,0.22843640794356665
56,0.2611119747161865,0.2283299540479978
57,0.26022598147392273,0.2272601475318273
58,0.2523721754550934,0.227125845849514
59,0.2567748427391052,0.2275731861591339
60,0.2547222077846527,0.2296652893225352
61,0.25684818625450134,0.2267281636595726
62,0.2567369341850281,0.2253716935714086
63,0.2548333406448364,0.22411604970693588
64,0.2585475444793701,0.22443819542725882
65,0.25404757261276245,0.22453260670105615
66,0.2513628900051117,0.22858615964651108
67,0.2522207796573639,0.22275814165671667
68,0.2550041675567627,0.22078882157802582
69,0.25233015418052673,0.2204781323671341
70,0.2506868839263916,0.22006111840407053
71,0.2461686134338379,0.21974865347146988
72,0.2479752004146576,0.2221449539065361
73,0.24747875332832336,0.2215257634719213
74,0.24802304804325104,0.21982338031133017
75,0.24481472373008728,0.22079059233268103
76,0.2452290952205658,0.2200088451306025
77,0.24982133507728577,0.21900380899508795
78,0.2462257593870163,0.2219720259308815
79,0.2477322816848755,0.21847726901372275
80,0.24478906393051147,0.22398197650909424
81,0.24725571274757385,0.2227714086572329
82,0.2457849532365799,0.21955819924672446
83,0.24546995759010315,0.22071759899457297
84,0.24599327147006989,0.2163453126947085
85,0.24038007855415344,0.2164259726802508
86,0.23689335584640503,0.21660835792620978
87,0.23544447124004364,0.21594763298829397
88,0.24372193217277527,0.21785633762677512
89,0.23760800063610077,0.21551759789387384
90,0.23768199980258942,0.21344835559527078
91,0.2392362505197525,0.2136592169602712
92,0.2327744960784912,0.21236474315325418
93,0.2347806692123413,0.21257092555363974
94,0.2329745888710022,0.21114696065584818
95,0.23373177647590637,0.2114992787440618
96,0.23418749868869781,0.21051896860202154
97,0.2329244762659073,0.20943814516067505
98,0.2303713858127594,0.20873225728670755
99,0.22769233584403992,0.20855180422465006
100,0.2262386977672577,0.2105193311969439
101,0.22774574160575867,0.2099857454498609
102,0.2298944890499115,0.20839855819940567
103,0.2254532426595688,0.2086614022652308
104,0.22614383697509766,0.20706696808338165
105,0.22120170295238495,0.20641710609197617
106,0.22773385047912598,0.2066186343630155
107,0.22018468379974365,0.20245139797528586
108,0.22662986814975739,0.201461690167586
109,0.21801911294460297,0.2004685973127683
110,0.21848458051681519,0.19939788927634558
111,0.21697957813739777,0.21734464168548584
112,0.21760138869285583,0.19865791499614716
113,0.21214453876018524,0.1973814219236374
114,0.21516510844230652,0.19129750380913416
115,0.20895744860172272,0.1893568535645803
116,0.19919364154338837,0.18131191780169806
117,0.19333766400814056,0.1807003915309906
118,0.18809714913368225,0.18170607089996338
119,0.18164309859275818,0.17214921986063322
120,0.18320079147815704,0.1641764541467031
121,0.17890127003192902,0.16013658543427786
122,0.17079778015613556,0.1607215218245983
123,0.1704588681459427,0.1617055075863997
124,0.16879338026046753,0.1612218494216601
125,0.16831162571907043,0.15934922794500986
126,0.171118825674057,0.16419460127751032
127,0.16936877369880676,0.17411118000745773
128,0.17232029139995575,0.16621889670689902
129,0.16831809282302856,0.1626464587946733
130,0.17000016570091248,0.16153277456760406
131,0.16426333785057068,0.15614160522818565
132,0.16525056958198547,0.15586271757880846
133,0.16463063657283783,0.154216052343448
134,0.16663402318954468,0.1561570850511392
135,0.16321831941604614,0.16040083269278207
136,0.16530358791351318,0.15259053682287535
137,0.1699608415365219,0.15443421651919684
138,0.16441424190998077,0.15364849815766016
139,0.1647476702928543,0.15718654170632362
140,0.16704916954040527,0.1566720431049665
141,0.17063921689987183,0.15308442215124765
142,0.16376984119415283,0.15106203158696493
